"","X.1","X","EDCS.ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating"
"11",14,14,"EDCS-28600124","CIL 03, 03162","Dalmatia","?",1,150,1,150,"liberti/libertae;  tituli sacri;  tria nomina;  viri","[P(ublius)] Cordius P(ubli) l(ibertus) / Tharsus vot(um) / solvit lib[e]ns mer(ito)","Cordius P l Tharsus vot solvit libns mer","Publius Cordius Publi libertus Tharsus votum solvit libens merito",NA,NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062301",NA,NA,"1 to 150"
"12",81,81,"EDCS-27800690","CIL 03, 06428 = CIL 03, 08474 = CCCA-06, 00171 = AE 1989, 00609","Dalmatia","?",101,300,101,300,"tituli sacri","Dis Asca(niis) et / Matri Magn(a)e / Ianae [l(ibens)] m(erito)","Dis Asca et Matri Magne Ianae m","Dis Ascaniis et Matri Magnae Ianae libens merito",NA,NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018333;bu_CIL%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=8474",NA,NA,"101 to 300"
"13",85,85,"EDCS-30900001","CIL 03, 10153","Dalmatia","?",1,200,1,200,"tituli sacri","Nymphis V[","Nymphis V","Nymphis V","lapis",NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061788",NA,NA,"1 to 200"
"14",109,109,"EDCS-10101966","ILJug-03, 02958 = AHB p 529 = AE 1939, 00177","Dalmatia","?",101,300,101,300,"mulieres;  nomen singulare;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Aur(e)l(ius) Rufus / et Victo/rina v(otum) l(ibentes) s(olverunt)","I O M Aurl Rufus et Victorina v l s","Iovi Optimo Maximo Aurelius Rufus et Victorina votum libentes solverunt","lapis",NA,NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD022755;lu_23743;1ae1939-62;bu_ILJug%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=2958",NA,NA,"101 to 300"
"15",121,121,"EDCS-67500113","Liburnia 00205","Dalmatia","?",NA,NA,NA,NA,"praenomen et nomen;  tituli sacri;  viri","] / <Q=O>(uintus) Pus() / v(otum) s(olvit)","O Pus v s","Quintus Pus votum solvit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",122,122,"EDCS-67500114","Liburnia 00207","Dalmatia","?",NA,NA,NA,NA,"nomen singulare;  tituli operum;  tituli sacri;  viri","Ursus Muti pos(uit) / Iovi aram","Ursus Muti pos Iovi aram","Ursus Muti posuit Iovi aram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",123,123,"EDCS-67500115","Liburnia 00210","Dalmatia","?",NA,NA,NA,NA,"tituli sacri;  tria nomina;  viri","Dianae C(aius) Claudius Amethistus v(otum) s(olvit) l(ibens) m(erito)","Dianae C Claudius Amethistus v s l m","Dianae Caius Claudius Amethistus votum solvit libens merito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",130,130,"EDCS-57000048","OpuscArchZagreb-1994-98 = Liburnia 00204","Dalmatia","?",1,300,1,300,"tituli sacri","[He]rculi / Iovis f(ilio)","rculi Iovis f","Herculi Iovis filio",NA,NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056613",NA,NA,"1 to 300"
"19",131,131,"EDCS-71400059","REMCacak 00002","Dalmatia","?",NA,NA,NA,NA,"milites;  tituli sacri;  tria nomina;  viri","[Di]anae / [3 I]ul(ius) Capito / [b(ene)f(iciarius)] co(n)s(ularis) ex / [le]g(ione) XI Cl(audia) / [v(otum)] s(olvit) l(ibens) m(erito)","anae ul Capito cos ex g XI Cl s l m","Dianae Iulius Capito beneficiarius consularis ex legione XI Claudia votum solvit libens merito",NA,NA,NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00002_1.jpg;$REMCacak_00002_2.jpg",NA,NA,NA,NA
"20",132,132,"EDCS-67400473","AE 2012, 01111","Dalmatia","Akmacici",NA,NA,NA,NA,"tituli sacri;  tria nomina;  viri","Invicto S(oli) M(ithrae) O(mnipotenti) / Aur(elius) Urso / R F[","Invicto S M O Aur Urso R F","Invicto Soli Mithrae Omnipotenti Aurelius Urso R F","lapis",NA,43.4277464,19.8713687,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD072635",NA,NA,NA
"21",134,134,"EDCS-30600086","CIL 03, 06317 = CIL 03, 08338 = ILJug-03, 01498 = AHB p 257","Dalmatia","Arilje",101,300,101,300,"tituli sacri;  tria nomina;  viri","Lib(ero) P(atri) / T(itus) Aurel(ius) / Proculus / l(ibens) p(osuit)","Lib P T Aurel Proculus l p","Libero Patri Titus Aurelius Proculus libens posuit","lapis",NA,43.7506129,20.1006509,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043454",NA,NA,"101 to 300"
"22",139,139,"EDCS-30800055","CIL 03, 08302 (p 2255) = ILJug-03, 01722 = CILGM 00244","Dalmatia","Babin Potok / Babispotok / Municipium Splonistarum",1,300,1,300,"tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / Statius / Victor Bri/<s=Z>idia v(oto) l(ibens) p(osuit)","I O M Statius Victor BriZidia v l p","Iovi Optimo Maximo Statius Victor Brisidia voto libens posuit","lapis",NA,43.7936821,19.3157541,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CILGM_00244.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD059947",NA,NA,"1 to 300"
"23",140,140,"EDCS-06100486","AHB p 259 = AE 1989, 00611","Dalmatia","Bajina Basta",151,230,151,230,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / C(aius) Billianius / Severus / b(ene)f(iciarius) co(n)s(ularis) / v(otum) s(olvit) l(ibens) m(erito)","I O M C Billianius Severus bf cos v s l m","Iovi Optimo Maximo Caius Billianius Severus beneficiarius consularis votum solvit libens merito",NA,NA,43.9714028,19.5659497,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1989_00611.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018339;lu_29901",NA,NA,"151 to 230"
"24",141,141,"EDCS-30600088","CIL 03, 06319 = CIL 03, 08357 = AHB p 259","Dalmatia","Bajina Basta",101,300,101,300,"tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / T(itus) Aur(elius) Mena(n)d/[er","I O M T Aur Menader","Iovi Optimo Maximo Titus Aurelius Menander",NA,NA,43.9714028,19.5659497,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043582",NA,NA,"101 to 300"
"25",142,142,"EDCS-30800071","CIL 03, 08358 = ILJug-03, 01518","Dalmatia","Bajina Basta",171,300,171,300,"tituli sacri","[S]ilva[no 3] / [3]atis M[","ilva atis M","Silvano atis M",NA,NA,43.9714028,19.5659497,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062059;lu_29905",NA,NA,"171 to 300"
"26",148,148,"EDCS-59500033","AE 2010, 01218","Dalmatia","Baljci",151,300,151,300,"tituli sacri;  viri","[I(ovi)] O(ptimo) [M(aximo)] / [1]etroni[us]","O etroni","Iovi Optimo Maximo etronius",NA,NA,43.8258754,16.3119563,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD072545",NA,NA,"151 to 300"
"27",149,149,"EDCS-70600078","AE 2012, 01106","Dalmatia","Baljci",1,200,1,200,"mulieres;  tituli sacri;  tria nomina","[Iu]noni / [3] Ael(ia) / [3]uaria / [v(otum) s(olvit)] l(ibens) m(erito)","noni Ael uaria l m","Iunoni Aelia uaria votum solvit libens merito","lapis",NA,43.8258754,16.3119563,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD072544",NA,NA,"1 to 200"
"28",150,150,"EDCS-32201030","CIL 03, 14221 (p 2328,117) = CBI 00439 = AHB p 644","Dalmatia","Banja Luka / Castra",151,300,151,300,"milites;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / et Genio / loci L(ucius) / Sicinius / Macrinus / b(ene)f(iciarius) co(n)s(ularis) P(annoniae) / s(uperioris) v(otum) s(olvit) l(ibens) m(erito)","I O M et Genio loci L Sicinius Macrinus bf cos P s v s l m","Iovi Optimo Maximo et Genio loci Lucius Sicinius Macrinus beneficiarius consularis Pannoniae superioris votum solvit libens merito","lapis",NA,44.7741181,17.1961532,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00439.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052469;lu_23709",NA,NA,"151 to 300"
"29",176,176,"EDCS-10100455","ILJug-03, 01426 = AE 1934, 00189","Dalmatia","Benkovac / Asseria",131,200,131,200,"ordo decurionum;  tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / T(itus) Ael(ius) Cel/sinus / dec(urio) l(ibens) p(osuit)","I O M T Ael Celsinus dec l p","Iovi Optimo Maximo Titus Aelius Celsinus decurio libens posuit",NA,NA,44.0333509,15.6125528,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD027022;1ae1934-53",NA,NA,"131 to 200"
"30",177,177,"EDCS-63400003","Lupa 23143","Dalmatia","Benkovac / Asseria",NA,NA,NA,NA,"tituli sacri","IDOA[3] / D[","IDOA D","IDOA D",NA,NA,44.0333509,15.6125528,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23143",NA,NA,NA
"31",182,182,"EDCS-09400591","AE 1975, 00679","Dalmatia","Bicine / Bicina",1,300,1,300,"tituli sacri","[3]rusi[3]/maciu[s] / [3]cius Iu[3] / [3]nibus","rusi maciu cius Iu nibus","rusi macius cius Iu nibus",NA,NA,43.8309476,15.903175,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD010870",NA,NA,"1 to 300"
"32",238,238,"EDCS-51800075","AHB p 444","Dalmatia","Bihac / Raetinium",NA,NA,NA,NA,"tituli sacri","v(otum) s(olvit?)] l(ibens) m(erito?)","v s l m","votum solvit libens merito",NA,NA,44.8146409,15.8690863,NA,NA,NA,NA,NA,NA
"33",255,255,"EDCS-30100696","CIL 03, 14323 = ILJug-01, 00229 = ILJug-03, 01683 = AHB p 391","Dalmatia","Bihac / Raetinium",1,300,1,300,"tituli sacri","Bindo N[ept]u/no sa[c]r(um) / Casu[3]NI / MO[","Bindo Nuno sar Casu NI MO","Bindo Neptuno sacrum Casu NI MO",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14323_1.jpg;$CIL_03_14323_2.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034116",NA,NA,"1 to 300"
"34",256,256,"EDCS-32300071","CIL 03, 14324 = AHB p 395 = Grbic-2014, 00007","Dalmatia","Bihac / Raetinium",69,79,69,79,"Augusti/Augustae;  milites;  ordo decurionum;  tituli sacri;  tria nomina;  viri","[T(itus) F]lavius / [3]ditanus / [civ(itate?) d]on(atus) ab / [Imp(eratore)] Vespasiano / Ca[e]sare Aug(usto) / pra[e]positu[s] / et p[rin]cep[s] / Iapo[d]um / [v(otum) s(olvit) l(ibens) m(erito)]","lavius ditanus on ab Vespasiano Casare Aug prapositu et pcep Iapoum","Titus Flavius ditanus civitate donatus ab Imperatore Vespasiano Caesare Augusto praepositus et princeps Iapodum votum solvit libens merito","lapis",NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14324.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052240;lu_23687",NA,NA,"69 to 79"
"35",257,257,"EDCS-31300291","CIL 03, 14325 = D 04878a = ILJug-01, 00230 = AHB p 392 = Grbic-2014, 00004","Dalmatia","Bihac / Raetinium",101,200,101,200,"milites;  tituli sacri;  tria nomina;  viri","Bindo Neptuno / sacrum / Proculus Parm/anic(us) praepos(itus) / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno sacrum Proculus Parmanic praepos v s l m","Bindo Neptuno sacrum Proculus Parmanicus praepositus votum solvit libens merito",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14325_1.jpg;$CIL_03_14325_2.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052235;de-b0243",NA,NA,"101 to 200"
"36",258,258,"EDCS-31300292","CIL 03, 14326 = D 04878b = AHB p 394 = Grbic-2014, 00006","Dalmatia","Bihac / Raetinium",1,150,1,150,"ordo decurionum;  tituli sacri;  tria nomina;  viri","Bindo Neptuno / sacr(um) / Licinius Teuda / praep(ositus) et pri[n(ceps)] / Ia[p]odum / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno sacr Licinius Teuda praep et pri Iaodum v s l m","Bindo Neptuno sacrum Licinius Teuda praepositus et princeps Iapodum votum solvit libens merito","lapis",NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14326.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052238;de-b0243;lu_23298",NA,NA,"1 to 150"
"37",259,259,"EDCS-32300072","CIL 03, 14327 = AHB p 393","Dalmatia","Bihac / Raetinium",101,300,101,300,"tituli sacri","[Bindo Nep]tuno / [","tuno","Bindo Neptuno",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14327.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058041",NA,NA,"101 to 300"
"38",260,260,"EDCS-32300073","CIL 03, 14327,1 = AHB p 396","Dalmatia","Bihac / Raetinium",101,300,101,300,"tituli operum;  tituli sacri","Bi]ndi [ // ] Liv[3] / faciu[ndam cu]r[avit","Bindi Liv faciuravit","Bindi Liv faciundam curavit",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14327_1.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058042",NA,NA,"101 to 300"
"39",261,261,"EDCS-32300074","CIL 03, 14328 = ILJug-01, 00231 = AHB p 400 = Grbic-2014, 00005","Dalmatia","Bihac / Raetinium",51,150,51,150,"ordo decurionum;  tituli sacri;  tria nomina;  viri","Tloantius / Rufus / praepositus / Iapodum / v(otum) s(olvit) l(ibens) m(erito)","Tloantius Rufus praepositus Iapodum v s l m","Tloantius Rufus praepositus Iapodum votum solvit libens merito",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14328_1.jpg;$CIL_03_14328_2.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052278",NA,NA,"51 to 150"
"40",266,266,"EDCS-32200021","CIL 03, 15062 = AHB p 398","Dalmatia","Bihac / Raetinium",201,300,201,300,"tituli sacri","Bi[ndo(?)","Bindo","Bindo","lapis",NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_15062.jpg",NA,NA,NA,"201 to 300"
"41",269,269,"EDCS-32200025","CIL 03, 15066 = CBI 00442 = AHB p 399","Dalmatia","Bihac / Raetinium",201,300,201,300,"milites;  tituli sacri;  tria nomina;  viri","B[indo Neptun]/o s[acrum] / [3 Li]cin[i]u[s] / Galba / mil(es) leg(ionis) I Ad(iutricis) / b(ene)[f(iciarius)] co(n)s(ularis) v(otum) [s(olvit) l(ibens) m(erito)]","Bo s cinu Galba mil leg I Ad b cos v","Bindo Neptuno sacrum Licinius Galba miles legionis I Adiutricis beneficiarius consularis votum solvit libens merito","lapis",NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00442.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052275;lu_30334",NA,NA,"201 to 300"
"42",271,271,"EDCS-32200027","CIL 03, 15068 = AHB p 397","Dalmatia","Bihac / Raetinium",201,300,201,300,"tituli sacri;  tria nomina;  viri","Bindo N[eptuno] s(acrum) / ob [h]onor(em) / Iusti Pro/[tog(enis?) amici / p(osuerunt)","Bindo N s ob onor Iusti Protog amici p","Bindo Neptuno sacrum ob honorem Iusti Protogenis amici posuerunt",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_15068.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052272",NA,NA,"201 to 300"
"43",273,273,"EDCS-32700943","CIL 03, 15077 = AHB p 412","Dalmatia","Bihac / Raetinium",151,300,151,300,"tituli sacri;  tria nomina;  viri","[Ul]p(ius?) Satu[r]/ninu[s] / [S]ilvano / [","p Satuninu ilvano","Ulpius Saturninus Silvano","lapis",NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_15077.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD000692;lu_30394",NA,NA,"151 to 300"
"44",275,275,"EDCS-10000317","ILJug-01, 00232 = AHB p 419","Dalmatia","Bihac / Raetinium",201,300,201,300,"tituli sacri","Libero / Patri s(acrum) / [","Libero Patri s","Libero Patri sacrum","lapis",NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-01_00232.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033286;lu_30755",NA,NA,"201 to 300"
"45",287,287,"EDCS-10000329","ILJug-01, 00244 = AHB p 423","Dalmatia","Bihac / Raetinium",1,300,1,300,"tituli sacri;  tria nomina;  viri","I(ovi) O(ptimo) M(aximo) / C(aius) T() P()","I O M C T P","Iovi Optimo Maximo Caius T P",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-01_00244.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD032737",NA,NA,"1 to 300"
"46",288,288,"EDCS-10100657","ILJug-03, 01678 = AHB p 427","Dalmatia","Bihac / Raetinium",1,300,1,300,"mulieres;  tituli sacri;  tria nomina","Liberae / Iulia M(a)ximina / v(otum) s(olvit) l(ibens) m(erito)","Liberae Iulia Mximina v s l m","Liberae Iulia Maximina votum solvit libens merito",NA,NA,44.8146409,15.8690863,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-03_01678.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033981;bu_ILJug%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=1678",NA,NA,"1 to 300"
"47",293,293,"EDCS-56900084","WMBH-1895-52","Dalmatia","Bihac / Raetinium",1,300,1,300,"tituli sacri","I(nvicto) M(ithrae) / l(ibens) pos(uit) m(erito) / [","I M l pos m","Invicto Mithrae libens posuit merito","lapis",NA,44.8146409,15.8690863,NA,NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD059968",NA,NA,"1 to 300"
"48",300,300,"EDCS-10100712","ILJug-03, 01742 = AEHercegovine 00029 = AE 1906, 00185","Dalmatia","Bijelo Polje",101,300,101,300,"mulieres;  tituli operum;  tituli sacri;  tria nomina","Deae Iuno/ni Sancta(e) / aram posu/it Iunia / Varena","Deae Iunoni Sancta aram posuit Iunia Varena","Deae Iunoni Sanctae aram posuit Iunia Varena","lapis",NA,43.0337081,19.7469527,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AEHercegovine_00029.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD022127;lu_23703;1ae1906-58",NA,NA,"101 to 300"
