"","X","hd_nr","provinz","land","land_sort_de","land_sort_en","fo_antik","fo_modern","verw_bezirk","fundstelle","pl_ancient_loc1","koordinaten1","pl_ancient_loc2","koordinaten2","geo_id1","geo_id2","fundjahr","aufbewahrung","erhaltung","i_gattung","i_gattung_sort_de","i_gattung_sort_en","denkmaltyp","felder","material","hoehe","breite","tiefe","if_h","if_b","bh","ligatur","metrik","nl_text","dat_tag","dat_monat","dat_jahr_a","dat_jahr_e","datierung","soziales","religion","verbaende","geographie","dekor","gemeinden","militaer","bearbeiter","datum","beleg","tm_nr","gdb_id","atext","btext","literatur","beziehung","kommentar","pal_schreibtechnik","pal_interpunktion","people_uris","godot_uris","foto_nr","foto_extern","name","praenomen","nomen","cognomen","supernomen","tribus","origo","geschlecht","status","beruf","l_jahre","l_monate","l_tage","l_stunden"
"12",41,"HD004291","Dal","me",35,37,"Doclea","Podgorica",NA,"{Duklja}",481808,"42.467212864,19.265850603",NA,NA,3193044,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,"Marmor",-67,-42,-14,NA,NA,NA,NA,NA,"L",NA,NA,101,200,"Y",NA,"a",NA,"G",NA,NA,NA,"Feraudi","2011-10-10",12,181762,22925,"Dian[ae] / Augustae / Canda/vie(n)si T(itus) / Fl(avius) Dionysi/us d(onum) p(osuit)","DIAN[ ] / AVGVSTAE / CANDA / VIESI T / FL DIONYSI / VS D P","AE 1978, 0735. (B) # C. Praschniker - A. Schober, Archäologische Forschungen in Albanien und Montenegro (Wien 1919) 2-3, Nr. 3; Abb. 4. (B) - AE 1978. # ILJug 1820. #",NA,"(B): Praschniker - Schober, AE 1978: Z. 3/4: keine Angabe des Zeilenfalls.",NA,NA,NA,NA,NA,NA,"T. Fl. Dionysius","T.","Flavius*","Dionysius",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"13",50,"HD005425","Dal","hr",25,10,"Aequum","Sinj","Splitsko-dalmatinska županija","{Čitluk}",197095,"43.741956527,16.653900146",NA,NA,3277965,NA,1966,"Sinj, Muzej",NA,"titsac",22,22,"Statuenbasis",NA,NA,NA,41,NA,NA,NA,NA,NA,NA,"L",NA,NA,151,250,NA,NA,"a",NA,NA,"J",NA,NA,"Gräf","2009-07-22",2,181771,7186,"Romae Aug(ustae) sac(rum) / Cornelia Nobilis v(otum) s(olvit)","ROMAE AVG SAC / CORNELIA NOBILIS V S","AE 1981, 0702. # N. Cambi, BAHD 74, 1980, 36-41. 45-46; tab. 13-16. - AE 1981. #",NA,"Weibliche Statue einer Gottheit oder Priesterin(?), die zusammen mit der Basis aus 1 Stück gearbeitet ist. Gesamthöhe: 87 cm. Z. 1 (Anfang): vor R eine senkrechte Haste(?).",NA,NA,NA,NA,NA,NA,"Cornelia Nobilis",NA,"Cornelia","Nobilis",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA
"14",51,"HD005428","Dal","hr",25,10,"Varvaria","Skradin","Šibensko-kninska županija","Bribir, {Bribirska Glavica}",197574,"43.925410933,15.842955974",NA,NA,3203316,NA,1977,"Šibenik, Gradski Muz.",NA,"titsac",22,22,"Altar",NA,"Kalkstein",29.5,19,13,NA,NA,"3.5-1.5",NA,NA,"L",NA,NA,101,200,NA,NA,"a",NA,NA,"J",NA,NA,"Gräf","2019-06-26",2,181772,6073,"Isidi / sac(rum) / Raecia Mar//cella","ISIDI / SAC / RAECIA MAR / / CELLA","AE 1981, 0696. # B. Kuntić-Makvić, ARadRaspr 8/9, 1982, 151-157; Taf. 1 (Foto u. Zeichnung). - AE 1981. # P. Selem, Izidin trag. Egipatski kultni spomenici u rimskom Iliriku (Split 1997) 59-61, Nr. 1.18; t. 5a; sl. 3 (Zeichnung): E. Podrug - T. Brajković - Z. Krnčević, Arheološki tragovi kultova i religija na Šibenskom prodručju (Šibenik 2008) 85. 212-213, Nr. 118; sl. 29; Fotos. #",NA,"Z. 4 befindet sich auf der crepido.",NA,NA,NA,NA,NA,NA,"Raecia Marcella",NA,"Raecia","Marcella",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA
"15",67,"HD005985","Dal","rs",46,46,NA,"Prijepolje","Centralna Srbija","{Kolovrat}?",NA,"43.373740918,19.627413989",NA,NA,3305274,NA,NA,"Prijepolje, Kirche",NA,"titsac",22,22,"Altar",NA,NA,91,45,31.5,NA,NA,"7-4",NA,NA,"L",NA,NA,1,100,NA,NA,"a",NA,NA,"J",NA,NA,"Gräf","2009-10-06",2,181788,7158,"L(ibero) P(atri) A(ugusto) / Cordi/us Ur/sinus","L P A / CORDI / VS VR / SINVS","AE 1980, 0695. # M. Mirković, GodAkSarajevo 14, 1975, 98, Nr. 2; t. 1, 2. - AE 1980. #",NA,NA,NA,NA,NA,NA,NA,NA,"Cordius Ursinus",NA,"Cordius","Ursinus",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"16",75,"HD006009","Dal","rs",46,46,NA,"Prijepolje","Centralna Srbija","{Ivanje}?",NA,"43.34869,19.64534",NA,NA,3199062,NA,NA,"Prijepolje, Kirche",NA,"titsac",22,22,"Altar?",NA,NA,-88,34,47,NA,NA,"5-3.5",NA,NA,"L",NA,NA,51,150,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2009-10-06",12,181796,7143,"I(ovi) O(ptimo) M(aximo) [---] / Secund[us] / Aug(usti) lib(ertus) AT[---] / et Alb(ia) Ingen[ua] / cum Secun/dina filia e[x] / v(oto) p(ientissimi?) p(osuerunt)","I O M [ ] / SECVND[ ] / AVG LIB AT[ ] / ET ALB INGEN[ ] / CVM SECVN / DINA FILIA E[ ] / V P P","AE 1980, 0703. (B) # M. Mirković, GodAkSarajevo 14, 1975, 98, Nr. 1; t. 1, 1. (B) - AE 1980. #",NA,"Altar oder Statuenbasis. Z. 3 (Ende): AT oder TA (Ligatur). (B): Mirković; AE 1980: kleinere Abweichungen in der Textwiedergabe.",NA,NA,NA,NA,NA,NA,"Secund[us] Aug. lib.|Alb. Ingen[ua]|Secundina",NA,"Albia*","Secundus+|Ingenua+|Secundina",NA,NA,NA,"M|W|W","6",NA,NA,NA,NA,NA
"17",91,"HD007935","Dal","me",35,37,"Doclea","Podgorica",NA,"{Duklja}",481808,"42.467212864,19.265850603",NA,NA,3193044,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,"Marmor",-63,-39,NA,NA,NA,NA,NA,NA,"L",NA,NA,101,200,NA,NA,"a",NA,NA,NA,NA,NA,"Feraudi","2011-10-10",12,181812,22925,"Iov(i) / Antra[--?]/rim sacr(um) / T(itus) Flavius Li/beralis ex voto suc/cepto(!)","IOV / ANTRA[ ] / RIM SACR / T FLAVIVS LI / BERALIS EX VOTO SVC / CEPTO","AE 1986, 0557. (B) # N. Vulić, Spomenik 71, 1931, 125, Nr. 305; Foto. (B) - AE 1986. # ILJug 1823. #",NA,"(B): Vulić, AE 1986: Z. 2: Anira.",NA,NA,NA,NA,NA,NA,"T. Flavius Liberalis","T.","Flavius","Liberalis",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"18",95,"HD008209","Dal","hr",25,10,NA,"Supetar","Splitsko-dalmatinska županija","Splitska, bei, {S. Jadre, Kirche}, südlich, Straße, westlich",NA,"43.368596534,16.599472761",NA,NA,190257,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,NA,69,39.5,36.5,NA,NA,"4.3-2.3",NA,NA,"L",NA,NA,211,222,NA,NA,"a",NA,NA,NA,NA,"J","Gräf","2009-04-09",12,181816,6792,"I(ovi) O(ptimo) M(aximo) // T(itus) Fl(avius) Pompeius / |(centurio) coh(ortis) III / Alpinorum / Antoninianae / curam agens / FAB(---) AMP(---) MEN(---) et / Vibius Vibianus // protector / co(n)s(ularis)","I O M / / T FL POMPEIVS / | COH III / ALPINORVM / ANTONINIANAE / CVRAM AGENS / FAB AMP MEN ET / VIBIVS VIBIANVS / / PROTECTOR / COS","AE 1979, 0448. (B) # B. Kirigin, BAHD 72/73, 1979, 129-134, Nr. 1; tab. 11, 1. - AE 1979. #",NA,"Z. 1 befindet sich auf der corona, Z. 9 u.10 auf der crepido. (B): AE 1979: Z. 8/9: Zeilenfall fehlt.",NA,NA,NA,NA,NA,NA,"T. Fl. Pompeius|Vibius Vibianus","T.","Flavius*|Vibius","Pompeius|Vibianus",NA,NA,NA,"M|M","9|9",NA,NA,NA,NA,NA
"19",96,"HD008212","Dal","hr",25,10,NA,"Supetar","Splitsko-dalmatinska županija","Splitska, bei, {S. Jadre, Kirche}, südlich, Straße, westlich",NA,"43.368596534,16.599472761",NA,NA,190257,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,NA,29.5,20.5,20.5,NA,NA,"3-2.5",NA,NA,"L",NA,NA,171,250,NA,NA,"a",NA,NA,NA,NA,NA,"Gräf","2009-09-04",12,181817,6792,"Ascle/pio / Val(eria) C(h)ry/sis v(otum) s(olvit)","ASCLE / PIO / VAL CRY / SIS V S","AE 1979, 0449. # B. Kirigin, BAHD 72/73, 1979, 135, Nr. 2; tab. 11, 2. - AE 1979. #",NA,"(B): AE 1979: Z. 3/4: Chry/sis.",NA,NA,NA,NA,NA,NA,"Val. Crysis",NA,"Valeria*","Chrysis*",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA
"20",109,"HD008787","Dal","hr",25,10,"Andetrium, bei","Muć","Splitsko-dalmatinska županija","Bračević, {Vrba}",197115,"43.722432033,16.400345563",NA,NA,3203590,NA,1899,"Split, Arh. Muz.",NA,"titsac",22,22,"Altar",NA,NA,34,16,NA,NA,NA,NA,NA,NA,"L",NA,NA,71,150,NA,NA,"a",NA,NA,"J",NA,"J","Gräf","2011-03-14",0,181830,6222,"I(ovi) O(ptimo) M(aximo) / Cassius / Dasantis / c(o)h(ortis) III Alpin(orum) / tessera(rius) ce(nturia) Nun(nii) / Isiani / v(otum) s(olvit) l(ibens) m(erito)","I O M / CASSIVS / DASANTIS / CH III ALPIN / TESSERA CE NVN / ISIANI / V S L M","AE 1899, 0158. # CIL 03, 14950. # F. Bulić, BAHD 22, 1899, 88-89, Nr. 2730; Zeichnung. - AE 1899. #",NA,"Zeilenlinien für die Beschriftung. Z. 5/6: CIL III: in der Textwiedergabe NUNE / ISIANI, in der Umschrift Nun(nii) Isiani; AE 1899: Nun/isiani.",NA,"b",NA,NA,NA,NA,"Cassius Dasantis|Dasantis|Nun. Isiani",NA,"Nunnius*","Cassius|Dasas|Isianus",NA,NA,NA,"M|M|M","9|9",NA,NA,NA,NA,NA
"21",112,"HD009272","Dal","hr",25,10,"Aenona","Nin","Zadarska županija",NA,197094,"44.243529,15.184150",NA,NA,3216446,NA,-1759,NA,NA,"titsac",22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",NA,NA,1,150,NA,NA,"a",NA,"J",NA,NA,NA,"Gräf","2010-03-29",0,181833,5911,"Neptuno Dian(ae) / propt(er) mai(estatem) / L(ucius) Cincius / Trophim(us) / ex viso p(osuit) / quod (H)alis // vidit","NEPTVNO DIAN / PROPT MAI / L CINCIVS / TROPHIM / EX VISO P / QVOD ALIS / / VIDIT","AE 1988, 0921. # CIL 03, 02970. # P. Veyne, in: Poikilia. Études offertes à Jean-Pierre Vernant (Paris 1987) 381-395. - AE 1988. #",NA,NA,NA,NA,NA,NA,NA,NA,"L. Cincius Trophim.","L.","Cincius","Trophimus*",NA,NA,NA,"M",NA,NA,NA,NA,NA,NA
"22",120,"HD010864","Dal","ba",8,8,"Baloie","Šipovo","Republika Srpska","{Gromile}, bei",197158,"44.285048741,17.100877763",NA,NA,3190837,NA,NA,NA,NA,"titsac",22,22,"Altar",NA,"Gesteine",-103,47,20,NA,NA,NA,NA,NA,"L",NA,NA,151,200,NA,NA,"a",NA,NA,NA,NA,"J","Feraudi","2018-09-17",12,181841,31142,"[Ap]ollini / [A]ug(usto) sac(rum) / [- Au]rel(ius) Ve/[r]us dec(urio) [eq(uitum)] / coh(ortis) III Al[p(inorum)] / iterata / statione // l(ibens) p(osuit)","[ ]OLLINI / [ ]VG SAC / [ ]REL VE / [ ]VS DEC [ ] / COH III AL[ ] / ITERATA / STATIONE / / L P","AE 1975, 0677. (B) # I. Bojanovski, ARadRaspr 7, 1974, 347-349; T. 1. (B) - AE 1975. #",NA,"In 2 Teile gebrochen; Z. 8 befindet sich auf der crepido. (B): Bojanovski, AE 1975: Z. 5: A[lp(inorum)].",NA,NA,NA,NA,NA,NA,"[- Au]rel. Ve[r]us","0","Aurelius+*","Verus+",NA,NA,NA,"M","9",NA,NA,NA,NA,NA
"23",121,"HD010867","Dal","hr",25,10,NA,"Pakoštane","Zadarska županija","{Vrana}, bei",NA,"43.9560796,15.5473259",NA,NA,3187387,NA,1968,"Zadar, Arh. Muz.",NA,"titsac",22,22,"Altar",NA,NA,24,17,13.6,NA,NA,"2-2.3",NA,NA,"L",NA,NA,1,300,NA,NA,NA,NA,NA,"J",NA,NA,"Gräf","2008-10-17",2,181842,6915,"Iulia Mu/sa Iuliaes(!) / Veraes(!) / v(otum) s(olvit) l(ibens) m(erito)","IVLIA MV / SA IVLIAES / VERAES / V S L M","AE 1975, 0678. # B. Ilakovac, RadJugAkZadar 18, 1971, 80-82, Nr. 1; sl. 19. - AE 1975. #",NA,NA,NA,NA,NA,NA,"F034479|https://heidicon.ub.uni-heidelberg.de/api/v1/objects/uuid/2e424ae6-a84a-45eb-b45b-f55f6299b43f/file/id/795315/file_version/name/small","http://lupa.at/24136","Iulia Musa Iuliaes(!) Veraes(!)|Iuliaes(!) Veraes(!)",NA,"Iulia|Iulia","Musa|Vera",NA,NA,NA,"W|W",NA,NA,NA,NA,NA,NA
"24",122,"HD010870","Dal","hr",25,10,"Nedinum, bei","Polača, bei","Šibensko-kninska županija","{Bičine}",197404,"44.008126254,15.516140798",NA,NA,3192848,NA,NA,"Biograd na Moru",NA,"titsac?",22,22,"Altar?",NA,NA,-19.3,-16.6,10,NA,NA,NA,NA,NA,"L",NA,NA,1,300,NA,NA,NA,NA,NA,NA,NA,NA,"Gräf","2009-11-05",2,181843,6062,"RVSI[--] / MACIV[--] / CIVSIV[--] / [---]nibus","RVSI[ ] / MACIV[ ] / CIVSIV[ ] / [ ]NIBVS","AE 1975, 0679. # B. Ilakovac, RadJugAkZadar 18, 1971, 83, Nr. 2; sl. 22. - AE 1975. #",NA,"Altar oder Statuenbasis mit Grab- oder Weihinschrift. Lesung Z. 1-3 unsicher.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
